Planta;Hierba;5;2;10;2;TROPICAL,SECO,CONTINENTAL,TEMPLADO,POLAR;10
Planta;Cedro;40;20;80;8;SECO,CONTINENTAL,TEMPLADO,POLAR;6
Planta;Pino;30;15;60;6;SECO,CONTINENTAL,TEMPLADO,POLAR;5
Planta;Arbusto;10;5;20;3;TROPICAL,SECO,CONTINENTAL,TEMPLADO,POLAR;8
Planta;Helecho;5;2;10;2;TROPICAL,CONTINENTAL,TEMPLADO,POLAR;9
Planta;Bambú;20;10;40;4;TROPICAL,CONTINENTAL,TEMPLADO;14
Planta;Manzano;15;8;25;3;TROPICAL,CONTINENTAL,TEMPLADO;13
Planta;Naranjo;12;6;20;2;TROPICAL,CONTINENTAL,TEMPLADO;15
Planta;Olivo;25;12;50;5;SECO,CONTINENTAL,TEMPLADO;7
Planta;Palmera;30;15;60;6;TROPICAL,SECO,CONTINENTAL,TEMPLADO;5
Herbivoro;Conejo;2;1;5;3;TROPICAL,SECO,CONTINENTAL,TEMPLADO,POLAR;Hierba,Arbusto,Helecho
Herbivoro;Ciervo;3;2;7;2;SECO,CONTINENTAL,TEMPLADO,POLAR;Hierba,Manzano
Herbivoro;Jirafa;4;2;10;2;SECO,CONTINENTAL,TEMPLADO;Arbusto,Bambú
Herbivoro;Cabra;5;3;12;1;SECO,CONTINENTAL,TEMPLADO,POLAR;Helecho,Manzano
Herbivoro;Oveja;6;4;14;1;SECO,CONTINENTAL,TEMPLADO,POLAR;Helecho,Arbusto
Herbivoro;Canguro;7;4;16;1;TROPICAL,SECO,CONTINENTAL,TEMPLADO;Bambú,Manzano
Carnivoro;Lobo;5;2;10;1;SECO,CONTINENTAL,TEMPLADO,POLAR;Conejo,Ciervo
Carnivoro;León;6;3;12;1;TROPICAL,SECO,TEMPLADO,POLAR;Ciervo,Jirafa
Carnivoro;Tigre;7;4;14;1;TROPICAL,SECO,CONTINENTAL,TEMPLADO,POLAR;Jirafa,Conejo
Carnivoro;Águila;8;5;20;1;SECO,CONTINENTAL,TEMPLADO;Conejo,Canguro
